rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1.0000,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.1400,0.1500,-0.1500,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460,,,
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.9690,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.1400,0.1500,-0.1500,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460,,,
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,0.0000,5853.00,158.00,-176.00,4.544,0.044,-0.176,-0.1800,0.3000,-0.3000,0.8680,0.2330,-0.0780,0.9610,0.1100,-0.1210,,,
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5805.00,157.00,-174.00,4.564,0.053,-0.168,-0.5200,0.3000,-0.3000,0.7910,0.2010,-0.0670,0.8360,0.0930,-0.0770,,,
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0000,6031.00,169.00,-211.00,4.438,0.070,-0.210,0.0700,0.2500,-0.3000,1.0460,0.3340,-0.1330,1.0950,0.1510,-0.1360,,,
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.0000,6046.00,189.00,-232.00,4.486,0.054,-0.229,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,,,
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0000,6046.00,189.00,-232.00,4.486,0.054,-0.229,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,,,
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.9920,6046.00,189.00,-232.00,4.486,0.054,-0.229,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,,,
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6227.00,111.00,-124.00,3.986,0.182,-0.098,0.0000,0.1500,-0.1500,1.9580,0.3220,-0.4830,1.3580,0.1210,-0.2070,,,
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1.0000,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.1600,0.1500,-0.1500,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300,,,
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.8110,5820.00,78.00,-78.00,4.457,0.024,-0.024,-0.0600,0.1500,-0.1500,0.9640,0.0380,-0.0380,0.9710,0.0620,-0.0560,,,
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0000,6440.00,76.00,-89.00,4.019,0.033,-0.027,0.1400,0.1500,-0.1500,1.9520,0.0990,-0.1100,1.4490,0.0700,-0.0910,,,
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.9980,6225.00,112.00,-137.00,4.169,0.055,-0.045,-0.0400,0.1500,-0.1500,1.4510,0.1100,-0.1100,1.1320,0.1080,-0.0780,,,
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1.0000,5833.00,105.00,-117.00,4.407,0.085,-0.114,-0.0400,0.1500,-0.1500,1.0220,0.1430,-0.1070,0.9740,0.0660,-0.0660,,,
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5795.00,155.00,-172.00,4.554,0.033,-0.176,-0.2000,0.2500,-0.3000,0.8480,0.2240,-0.0750,0.9380,0.0980,-0.1090,,,
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5043.00,151.00,-151.00,4.591,0.072,-0.048,-0.5400,0.3500,-0.3000,0.6800,0.0720,-0.0650,0.6570,0.0850,-0.0360,,,
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6117.00,182.00,-200.00,4.496,0.052,-0.208,-0.2200,0.2500,-0.3500,0.9470,0.3080,-0.0960,1.0250,0.1390,-0.1390,,,
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5152.00,168.00,-153.00,4.517,0.088,-0.072,-0.2000,0.3000,-0.3000,0.7860,0.0880,-0.0880,0.7410,0.1060,-0.0570,,,
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1.0000,4856.00,131.00,-146.00,4.583,0.065,-0.035,-0.3000,0.3000,-0.3000,0.6960,0.0560,-0.0680,0.6760,0.0880,-0.0470,,,
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.0000,4537.00,123.00,-123.00,4.648,0.020,-0.056,0.2100,0.2000,-0.3000,0.6720,0.0620,-0.0360,0.7610,0.0330,-0.0670,,,
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4989.00,149.00,-149.00,4.504,0.090,-0.060,0.1000,0.2500,-0.3000,0.8190,0.0670,-0.0820,0.7810,0.0780,-0.0560,,,
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1.0000,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.1600,0.1500,-0.1500,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320,,,
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.9800,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.1600,0.1500,-0.1500,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320,,,
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.9710,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.1600,0.1500,-0.1500,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320,,,
25,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,5543.00,79.00,-79.00,4.081,0.014,-0.014,0.4400,0.1010,-0.1010,1.5800,0.0640,-0.0640,1.1030,0.0970,-0.0970,,,
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1.0000,4954.00,79.00,-79.00,4.500,0.075,-0.020,0.1800,0.1500,-0.1500,0.8280,0.0320,-0.0650,0.7910,0.0500,-0.0290,,,
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1.0000,5339.00,175.00,-159.00,4.552,0.034,-0.136,0.1800,0.2000,-0.3000,0.8470,0.1610,-0.0690,0.9310,0.0630,-0.0940,,,
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1.0000,5644.00,152.00,-169.00,4.564,0.032,-0.168,-0.1400,0.3000,-0.3000,0.8310,0.2070,-0.0690,0.9280,0.0940,-0.1150,,,
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5714.00,155.00,-172.00,4.563,0.040,-0.160,-0.2000,0.3000,-0.3000,0.8310,0.1860,-0.0800,0.9260,0.0900,-0.1100,,,
30,11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5520.00,100.00,-111.00,4.466,0.032,-0.120,0.4800,0.0500,-0.1500,0.9830,0.1480,-0.0490,1.0300,0.0420,-0.0580,,,
31,11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6144.00,184.00,-220.00,4.402,0.072,-0.217,0.0000,0.2500,-0.3000,1.0910,0.3500,-0.1500,1.0930,0.1660,-0.1350,,,
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1.0000,5481.00,82.00,-74.00,4.369,0.121,-0.099,0.1600,0.1500,-0.1500,1.0360,0.1380,-0.1240,0.9150,0.0610,-0.0420,,,
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.9920,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.1600,0.1500,-0.1500,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300,,,
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1.0000,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.1600,0.1500,-0.1500,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300,,,
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1.0000,5015.00,164.00,-149.00,4.499,0.092,-0.115,0.1000,0.2500,-0.2500,0.8260,0.0910,-0.0820,0.7850,0.0850,-0.0560,,,
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1.0000,5586.00,152.00,-152.00,4.560,0.050,-0.150,-0.3000,0.3000,-0.3000,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780,,,
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0.9780,5586.00,152.00,-152.00,4.560,0.050,-0.150,-0.3000,0.3000,-0.3000,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780,,,
38,11138155,K00760.01,Kepler-1976 b,CONFIRMED,CANDIDATE,1.0000,5712.00,77.00,-77.00,4.359,0.110,-0.110,0.1000,0.1500,-0.1500,1.0820,0.1730,-0.1300,0.9760,0.0730,-0.0550,,,
39,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5550.00,182.00,-182.00,4.468,0.091,-0.169,-0.0400,0.3000,-0.3000,0.9100,0.2280,-0.1050,0.8890,0.1020,-0.0830,,,
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,1.0000,6075.00,189.00,-210.00,4.486,0.052,-0.208,-0.1200,0.2500,-0.3500,0.9690,0.3000,-0.1000,1.0480,0.1390,-0.1390,,,
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6074.00,168.00,-210.00,4.391,0.090,-0.210,-0.1200,0.3000,-0.3000,1.0630,0.3360,-0.1440,1.0140,0.1530,-0.1260,,,
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,1.0000,5779.00,104.00,-115.00,4.339,0.132,-0.108,-0.0600,0.1500,-0.1500,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540,,,
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,0.9980,5468.00,180.00,-164.00,4.367,0.153,-0.187,0.2200,0.2000,-0.3000,1.0460,0.2970,-0.1830,0.9300,0.0920,-0.0740,,,
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1.0000,5592.00,152.00,-152.00,4.582,0.036,-0.144,-0.2800,0.3000,-0.3000,0.7870,0.1690,-0.0730,0.8620,0.0890,-0.0970,,,
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1.0000,6174.00,173.00,-239.00,4.417,0.056,-0.210,0.1000,0.2000,-0.3000,1.1030,0.3580,-0.1280,1.1620,0.1580,-0.1580,,,
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1.0000,5532.00,74.00,-83.00,4.452,0.063,-0.108,0.1400,0.1500,-0.1500,0.9550,0.1270,-0.0680,0.9410,0.0530,-0.0470,,,
47,11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5040.00,136.00,-151.00,4.628,0.030,-0.070,-0.2400,0.3000,-0.3000,0.7050,0.0860,-0.0580,0.7820,0.0630,-0.0870,,,
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,1.0000,5880.00,157.00,-192.00,4.518,0.046,-0.196,-0.0600,0.3000,-0.3000,0.9170,0.2620,-0.0980,1.0100,0.1160,-0.1390,,,
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,1.0000,5714.00,77.00,-77.00,4.428,0.063,-0.117,0.1600,0.1500,-0.1500,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620,,,
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,1.0000,5714.00,77.00,-77.00,4.428,0.063,-0.117,0.1600,0.1500,-0.1500,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620,,,
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,1.0000,5129.00,154.00,-154.00,4.595,0.030,-0.084,0.0200,0.2500,-0.3000,0.7630,0.1030,-0.0550,0.8460,0.0640,-0.0880,,,
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,1.0000,5854.00,105.00,-117.00,4.406,0.090,-0.110,-0.1200,0.1500,-0.1500,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630,,,
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,1.0000,5779.00,104.00,-115.00,4.339,0.132,-0.108,-0.0600,0.1500,-0.1500,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540,,,
54,11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.0140,6108.00,183.00,-201.00,4.469,0.070,-0.210,-0.3000,0.3000,-0.3000,0.9560,0.3010,-0.1000,0.9810,0.1280,-0.1280,,,
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,1.0000,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.0400,0.1500,-0.1500,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350,,,
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,1.0000,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.0400,0.1500,-0.1500,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350,,,
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,1.0000,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.0400,0.1500,-0.1500,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350,,,
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,1.0000,5497.00,166.00,-149.00,4.577,0.034,-0.136,-0.1000,0.3000,-0.3000,0.8090,0.1640,-0.0700,0.9070,0.0740,-0.1020,,,
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,0.9990,5446.00,179.00,-163.00,4.507,0.116,-0.105,-0.5400,0.3500,-0.3000,0.7810,0.1160,-0.0950,0.7140,0.1040,-0.0370,,,
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,1.0000,4149.00,82.00,-91.00,4.698,0.024,-0.027,-0.3200,0.1500,-0.1500,0.5640,0.0300,-0.0330,0.5780,0.0270,-0.0370,,,
61,11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5746.00,173.00,-173.00,4.393,0.180,-0.198,-0.5400,0.3000,-0.3000,0.9240,0.2410,-0.1600,0.7700,0.1180,-0.0470,,,
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,1.0000,5005.00,79.00,-79.00,4.595,0.012,-0.064,0.1400,0.1500,-0.1500,0.7650,0.0550,-0.0280,0.8500,0.0250,-0.0540,,,
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,0.9930,5005.00,79.00,-79.00,4.595,0.012,-0.064,0.1400,0.1500,-0.1500,0.7650,0.0550,-0.0280,0.8500,0.0250,-0.0540,,,
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,0.8710,5779.00,104.00,-115.00,4.339,0.132,-0.108,-0.0600,0.1500,-0.1500,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540,,,
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,1.0000,3688.00,73.00,-91.00,4.790,0.050,-0.045,0.0000,0.1500,-0.1500,0.4730,0.0370,-0.0510,0.5030,0.0350,-0.0530,,,
